game_date,home_team,away_team,score_home,score_away
2018-10-06,Watford,Bournemouth,0,4
2018-10-06,Spurs,Cardiff,1,0
2018-10-06,Leicester,Everton,1,2
2018-10-06,Crystal Palace,Wolves,0,1
2018-10-06,Burnley,Huddersfield,1,1
2018-10-06,Man Utd,Newcastle,3,2
2018-10-05,Brighton,West Ham,1,0
2018-10-01,Bournemouth,Crystal Palace,2,1
2018-09-30,Cardiff,Burnley,1,2
2018-09-29,West Ham,Man Utd,3,1
2018-09-29,Wolves,Southampton,2,0
2018-09-29,Newcastle,Leicester,0,2
2018-09-29,Man City,Brighton,2,0
2018-09-29,Huddersfield,Spurs,0,2
2018-09-29,Everton,Fulham,3,0
2018-09-29,Arsenal,Watford,2,0
2018-09-29,Chelsea,Liverpool,1,1
2018-09-23,West Ham,Chelsea,0,0
2018-09-23,Arsenal,Everton,2,0
2018-09-22,Fulham,Watford,1,1
2018-09-22,Man Utd,Wolves,1,1
2018-09-22,Liverpool,Southampton,3,0
2018-09-22,Leicester,Huddersfield,3,1
2018-09-22,Crystal Palace,Newcastle,0,0
2018-09-22,Cardiff,Man City,0,5
2018-09-22,Burnley,Bournemouth,4,0
2018-09-22,Brighton,Spurs,1,2
2018-09-17,Southampton,Brighton,2,2
2018-09-16,Wolves,Burnley,1,0
2018-09-16,Everton,West Ham,1,3
2018-09-15,Spurs,Liverpool,1,2
2018-09-15,Newcastle,Arsenal,1,2
2018-09-15,Man City,Fulham,3,0
2018-09-15,Huddersfield,Crystal Palace,0,1
2018-09-15,Chelsea,Cardiff,4,1
2018-09-15,Bournemouth,Leicester,4,2
2018-09-15,Watford,Man Utd,1,2
2018-09-02,Cardiff,Arsenal,2,3
2018-09-02,Watford,Spurs,2,1
2018-09-02,Burnley,Man Utd,0,2
2018-09-01,Leicester,Liverpool,1,2
2018-09-01,West Ham,Wolves,0,1
2018-09-01,Everton,Huddersfield,1,1
2018-09-01,Crystal Palace,Southampton,0,2
2018-09-01,Chelsea,Bournemouth,2,0
2018-09-01,Brighton,Fulham,2,2
2018-09-01,Man City,Newcastle,2,1
2018-08-27,Man Utd,Spurs,0,3
2018-08-26,Watford,Crystal Palace,2,1
2018-08-26,Newcastle,Chelsea,1,2
2018-08-26,Fulham,Burnley,4,2
2018-08-25,Wolves,Man City,1,1
2018-08-25,Southampton,Leicester,1,2
2018-08-25,Huddersfield,Cardiff,0,0
2018-08-25,Bournemouth,Everton,2,2
2018-08-25,Arsenal,West Ham,3,1
2018-08-25,Liverpool,Brighton,1,0
2018-08-20,Crystal Palace,Liverpool,0,2
2018-08-19,Brighton,Man Utd,3,2
2018-08-19,Man City,Huddersfield,6,1
2018-08-19,Burnley,Watford,1,3
2018-08-18,Cardiff,Newcastle,0,0
2018-08-18,West Ham,Bournemouth,1,2
2018-08-18,Spurs,Fulham,3,1
2018-08-18,Leicester,Wolves,2,0
2018-08-18,Everton,Southampton,2,1
2018-08-18,Chelsea,Arsenal,3,2
2018-08-12,Southampton,Burnley,0,0
2018-08-12,Liverpool,West Ham,4,0
2018-08-12,Arsenal,Man City,0,2
2018-08-11,Newcastle,Spurs,1,2
2018-08-11,Watford,Brighton,2,0
2018-08-11,Huddersfield,Chelsea,0,3
2018-08-11,Fulham,Crystal Palace,0,2
2018-08-11,Bournemouth,Cardiff,2,0
2018-08-11,Wolves,Everton,2,2
2018-08-10,Man Utd,Leicester,2,1
